План ведомственного контроля и аудита Федерального казначейства на 2022 год;;;;;;;
№ п/п;Наименование объекта проверки;Тема проверки;Проверяемый период;Метод проведения проверки;Вид проверки;Срок проведения проверки (квартал);Ответственный исполнитель
1;2;3;4;5;6;7;8
Раздел I. Осуществление ведомственного контроля;;;;;;;
1.1.;"Федеральное казенное учреждение ""Центр по обеспечению деятельности Казначейства России""";Проверка соблюдения законодательных и иных нормативных правовых актов Российской Федерации о контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных нужд;2021, 2022 и текущий период 2023 года;тематическая;комбинированная;"2023 год
(I квартал)";"Начальник УВКиА
А.В. Бурдейн"
1.2.;Управление Федерального казначейства по Забайкальскому краю;Проверка выполнения отдельных полномочий;2021, 2022 и текущий период 2023 года;комплексная;камеральная;"2023 год
(II квартал)";"Начальник УВКиА
А.В. Бурдейн"
1.3.;Управление Федерального казначейства по Республике Бурятия;Проверка выполнения отдельных полномочий;2021, 2022 и текущий период 2023 года;комплексная;камеральная;"2023 год
(II квартал)";"Начальник УВКиА
А.В. Бурдейн"
1.4.;Управление Федерального казначейства по Магаданской области;Проверка выполнения отдельных полномочий;2021, 2022 и текущий период 2023 года;комплексная;камеральная;"2023 год
(III квартал)";"Начальник УВКиА
А.В. Бурдейн"
1.5.;Управление Федерального казначейства по Ханты-Мансийскому автономному округу - Югре;Проверка выполнения отдельных полномочий;2021, 2022 и текущий период 2023 года;комплексная;камеральная;"2023 год
(III квартал)";"Начальник УВКиА
А.В. Бурдейн"
1.6.;Управление Федерального казначейства по Чукотскому автономному округу;Проверка выполнения отдельных полномочий;2021, 2022 и текущий период 2023 года;комплексная;камеральная;"2023 год
(III квартал)";"Начальник УВКиА
А.В. Бурдейн"
1.7.;Межрегиональное управление Федерального казначейства в сфере управления ликвидностью;Проверка выполнения отдельных полномочий;2021, 2022 и текущий период 2023 года;комплексная;комбинированная;"2023 год
(IV квартал)";"Начальник УВКиА
А.В. Бурдейн"
Раздел II. Осуществление внутреннего аудита;;;;;;;
2.1.;"Межрегиональное операционное Управление Федерального казначейства
Управление Федерального казначейства по Республике Тыва 
Управление Федерального казначейства по г. Москве
Управление Федерального казначейства по Ямало-Ненецкому автономному округу";Проверка организации и осуществления казначейских платежей в системе казначейских платежей;2021, 2022 и текущий период 2023 года;тематическая;камеральная;"2023 год
(I квартал)";"Начальник УВКиА
А.В. Бурдейн"
2.2.;"Управление Федерального казначейства по Республике Тыва
Управление Федерального казначейства по Приморскому краю
Управление Федерального казначейства по Владимирской области
Управление Федерального казначейства по Калининградской области
Управление Федерального казначейства по Пензенской области
Управление Федерального казначейства по Тамбовской области 
Управление Федерального казначейства по Тульской области";Проверка организации работы территориальной подкомиссии по рассмотрению вопросов предоставления гражданским служащим Федерального казначейства единовременной субсидии на приобретение жилого помещения;2021, 2022 и текущий период 2023 года;тематическая;камеральная;"2023 год
(I квартал)";"Начальник УВКиА
А.В. Бурдейн"
2.3.;"Управление Федерального казначейства по Республике Татарстан
Управление Федерального казначейства по Красноярскому краю
Управление Федерального казначейства по Ростовской области";Проверка внешнего контроля деятельности аудиторских организаций, оказывающих аудиторские услуги общественно значимым организациям;2021, 2022 и текущий период 2023 года;тематическая;камеральная;"2023 год
(II квартал)";"Начальник УВКиА
А.В. Бурдейн"
2.4.;Управление Федерального казначейства по Пермскому краю;Проверка выполнения отдельных полномочий;2021, 2022 и текущий период 2023 года;тематическая;камеральная;"2023 год
(II квартал)";"Начальник УВКиА
А.В. Бурдейн"
2.5.;"Управление Федерального казначейства по Республике Татарстан 
Управление Федерального казначейства по Республике Тыва
Управление Федерального казначейства по Камчатскому краю
Управление Федерального казначейства по Тверской области
Управление Федерального казначейства по г. Севастополю";Проверка полномочий по контролю в сфере закупок;2021, 2022 и текущий период 2023 года;тематическая;камеральная;"2023 год
(II квартал)";"Начальник УВКиА
А.В. Бурдейн"
2.6.;"Управление Федерального казначейства по Республике Дагестан
Управление Федерального казначейства по Пермскому краю
Управление Федерального казначейства по Приморскому краю
Управление Федерального казначейства по Астраханской области
Управление Федерального казначейства по Воронежской области
Управление Федерального казначейства по Тульской области
Управление Федерального казначейства по Ульяновской области";"Проверка ведения бюджетного (бухгалтерского) учета 
и формирования бюджетной (бухгалтерской) отчетности; начисления и перечисления оплаты труда, иных выплат 
и связанных с ними обязательных платежей в бюджеты бюджетной системы Российской Федерации";2021, 2022 и текущий период 2023 года;тематическая;камеральная;"2023 год
(II квартал)";"Начальник УВКиА
А.В. Бурдейн"
2.7.;"Федеральное казенное учреждение ""Центр по обеспечению деятельности Казначейства России""";Проверка выполнения отдельных полномочий;2021, 2022 и текущий период 2023 года;комплексная;комбинированная;"2023 год
(III квартал)";"Начальник УВКиА
А.В. Бурдейн"
2.8.;"Управление Федерального казначейства по Ивановской области
Управление Федерального казначейства по Костромской области
Управление Федерального казначейства по Нижегородской области
Управление Федерального казначейства по г. Москве
Управление Федерального казначейства по г. Санкт-Петербургу";Проверка соблюдения Порядка ведения Государственной информационной системы о государственных и муниципальных платежах, утвержденного приказом Федерального казначейства от 12 мая 2017 г. № 11н;2021, 2022 и текущий период 2023 года;тематическая;камеральная;"2023 год
(III квартал)";"Начальник УВКиА
А.В. Бурдейн"
2.9.;"Управление Федерального казначейства по Краснодарскому краю
Управление Федерального казначейства по Приморскому краю";Проверка соблюдения порядка казначейского сопровождения средств, предоставляемых из бюджетов бюджетной системы Российской Федерации;2021, 2022 и текущий период 2023 года;тематическая;камеральная;"2023 год
(III квартал)";"Начальник УВКиА
А.В. Бурдейн"
2.10.;"Управление Федерального казначейства по Республике Татарстан
Управление Федерального казначейства по Воронежской области
Управление Федерального казначейства по Калужской области
Управление Федерального казначейства по Ленинградской области
Управление Федерального казначейства по Рязанской области
Управление Федерального казначейства по Свердловской области
Управление Федерального казначейства по Тамбовской области";Проверка организации и проведения контрольных мероприятий при осуществлении контроля в финансово-бюджетной сфере;2021, 2022 и текущий период 2023 года;тематическая;камеральная;"2023 год
(IV квартал)";"Начальник УВКиА
А.В. Бурдейн"
